,LearningCommArea_LGI,LearningCommArea_IndependentStudy,LearningCommArea_SGI,LearningCommArea_SelfContainedClassrooms,LearningCommArea_Community,LearningCommArea_BreakoutAreas,LearningCommArea_PresentationAreas,LearningCommArea_OutdoorLearning,LearningCommArea_Section Notes,LearningCommArea_AvgRating,EduIEQ_Stimulating,EduIEQ_SafeHealthy,EduIEQ_ViewsConnect,EduIEQ_Daylight,EduIEQ_Lighting,EduIEQ_Acoustics,EduIEQ_MoveExplore,EduIEQ_Adaptability,EduIEQ_Section Notes,EduIEQ_AvgRating,IEQ_Furn_Design,IEQ_Furn_Flexibility,IEQ_Furn_VarietySeating,IEQ_Furn_Movement,IEQ_Furn_Section Notes,IEQ_Furn_AvgRating,Instructional_Regular_Size,Instructional_Regular_StorageMat,Instructional_Regular_Accessibility,Instructional_Regular_Section Notes,Instructional_Regular_AvgRating,Instructional_SPED_Size,Instructional_SPED_AppSupportspace,Instructional_SPED_StorageMat,Instructional_SPED_Techpower,Instructional_SPED_sink,Instructional_SPED_writeablesurface,Instructional_SPED_accessibility,Instructional_SPED_Section Notes,Instructional_SPED_AvgRating,Instructional_SciAPLCTE_sink,Instructional_SciAPLCTE_writeablesurface,Instructional_SciAPLCTE_accessibility,Instructional_SciAPLCTE_Section Notes,Instructional_SciAPLCTE_AvgRating,Instructional_Visual&Fitness_size,Instructional_Visual&Fitness_supportspace,Instructional_Visual&Fitness_storagemat,Instructional_Visual&Fitness_techpower,Admin&Health_Accessibility,Admin&Health_Mailcopy,Admin&Health_Reception,Admin&Health_adminoffice,Admin&Health_healthoffice,Admin&Health_confroom,Admin&Health_Section Notes,Admin&Health_AvgRating,Public_displaystudentwork,Public_storageforequipment,Public_mediacenter,Public_cafeteria,Public_gym,Public_auditorium,Public_Section Notes,Public_AvgRating,Instructional_Visual&Fitness_sink,Instructional_Visual&Fitness_writeablesurf,Instructional_Visual&Fitness_accessibility,Instructional_Visual&Fitness_Section Notes,Instructional_Visual&Fitness_AvgRating,Public_accessibility,Public_techpower,LearningCommArea_Playground,EduIEQ_UniversalDesign,EduIEQ_DisplayofWork,Instructional_Regular_Techpower,Instructional_Regular_Sink,Instructional_Regular_eboard,Instructional_SciAPLCTE_size,Instructional_SciAPLCTE_supportspace,Instructional_SciAPLCTE_storagemat,Instructional_SciAPLCTE_techpower,Header_bldgsqft,Header_enrolment,Header_numclassroom,Header_grades,Header_campustypology,Header_assessname,Header_assessdate,Headerr_region,Header_reconfig,Security_entry,Security_bldgsecurity,Security_sitesecurity,Security_identity,Security_wayfinding,Security_Section Notes,Security_AvgRating,LearningCommArea_Differentiated,LearningCommArea_PBL,Header_Schoolname,Header_code
50690-EAQ-ELSA E COUTO ANNONI.pdf,0,0,0,0,0,0,0,2,Add notes,0.363636,2,0,0,0,0,0,0,0,Add notes,0.2,0,0,0,0,Add notes,0,0,2,0,24x24 typical,0.666667,0,0,0,0,0,0,0,1 small space  Not sufficient,0,0,0,0,None observed,0,0,0,0,0,0,0,0,0,0,0,3 offices and separate staff toilets,0,0,0,0,0,2,0,Covered gym and seating/ small cafeteria,0.25,0,0,0,None observed,0,0,0,2,0,0,2,0,0,0,0,0,0,12387,128,9,K 1 2 3 4 5,Enter Text,Scott Pashia,2/14/2022,PONCE,Enter Text,0,0,4,2,2,Add notes,1.6,0,0,ELSA E COUTO ANNONI,50690
50773-EAQ-LUIS MUÑOZ RIVERA.pdf,0,0,0,0,0,0,0,0,Add notes,0.181818,2,0,0,2,0,0,0,0,Add notes,0.4,0,0,0,0,Add notes,0,0,0,0,24x28,0.666667,0,0,0,0,0,0,0,13x28 classroom no plumbing,0,0,0,0,None observed,0,2,0,0,2,0,0,0,0,0,0,1 small office and reception area   Not near entry,0,0,0,0,0,2,0,Cafeteria 36x24/ very small library with limited media,0.25,0,0,0,Add notes,0.571429,0,0,2,0,0,2,0,2,0,0,0,0,14938,102,11,PK K 1 2 3 4 5,Enter Text,Scott Pashia,2/14/2022,PONCE,Enter Text,2,0,2,0,0,Many small mazes of buildings,0.8,0,0,LUIS MUÑOZ RIVERA,50773
50781-EAQ-MAGUEYES II.pdf,0,0,0,0,0,0,0,0,School is not occupied.,0,0,0,2,2,0,0,0,0,"Deadend corridor at the 2 stories building, classrooms are not occupied.",0.4,2,0,0,0,Classrooms are not occupied.,0.5,0,2,0,"Classroom: 27x23, kinder: 25x38",1,0,0,2,0,0,2,0,SPED Classroom: 23x27,0.571429,2,0,0,N/A,0.571429,0,0,0,0,0,0,0,0,0,0,"2 offices, no conference room - use empty classroom",0,0,2,0,0,0,0,"Share basketball court with community, Cafeteria/kitchen: 27x23 - sinks are not working",0.25,0,0,0,N/A,0,0,0,0,0,0,0,2,2,0,0,2,0,12684,127,10,PK K 1 2 3 4 5        EEE,Enter Text,Tianyu Zhang,2/14/2022,PONCE,Enter Text,0,0,2,2,0,Wire mesh fence,0.8,0,0,MAGUEYES II,50781
50799-EAQ-MARIA L MC DOUGALL.pdf,0,0,0,2,2,0,0,2,Outdoor spaces are used for various activities,0.727273,4,2,0,4,0,0,0,0,Add notes,1,0,0,0,0,Add notes,0,0,2,2,24x30  Some operable walls,1,2,0,0,0,2,2,2,Add notes,1.142857,0,0,0,None observed,0,0,0,2,0,2,0,0,0,0,0,Add notes,0.333333,0,0,0,0,0,2,Small cafeteria,0.25,2,0,0,Have bathrooms,0.571429,0,0,0,0,0,2,0,0,0,0,0,0,26206,135,22,PK K 1 2 3 4 5        EEE,Enter Text,Scott Pashia,2/14/2022,PONCE,Enter Text,2,2,4,2,2,Add notes,2.4,0,2,MARIA L MC DOUGALL,50799
51177-EAQ-HIPÓLITO GARCÍA.pdf,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,0,0,14888,229,19,K 1 2 3 4 5 6 7 8,Extensive Structural damage Buildings closed and locked. No students. ,Mark Kirby,2/14/2022,PONCE,Enter Text,0,0,0,0,0,Add notes,0,0,0,HIPÓLITO GARCÍA,51177
51185-EAQ-ARISTIDES CALES QUIROS.pdf,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,0,0,55446,344,41,6 7 8      EEI,Abandoned due to structural damage. No access to any buildings. ,Mark Kirby,2/14/2022,PONCE,Enter Text,0,0,0,0,0,Add notes,0,0,0,ARISTIDES CALES QUIROS,51185
51292-EAQ-QUEBRADAS.pdf,0,0,0,0,0,0,0,0,Add notes,0,0,2,0,2,0,0,0,0,Add notes,0.4,0,0,0,0,Add notes,0,0,0,0,24x24,0.666667,0,0,0,0,0,0,0,3 small office sized rooms for SPED,0,0,0,0,None observed,0,0,0,0,0,0,0,0,0,0,0,Admin on second floor/  No ramp access,0,0,0,0,0,0,0,No library/ could not access kitchen/ cafeteria/ no gym,0,0,0,0,None observed,0,0,0,0,0,0,2,0,2,0,0,0,0,16916,225,20,PK K 1 2 3 4 5,Enter Text,Scott Pashia,2/15/2022,PONCE,Enter Text,0,0,2,2,0,Add notes,0.8,0,0,QUEBRADAS,51292
51334-EAQ-DALILA TORRES.pdf,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,2,0,0,0,0,Add notes,0.2,0,0,0,0,Add notes,0,0,0,0,24x24,0.666667,0,0,2,2,4,2,0,Separate building for SPED,1.428571,0,0,0,None observed,0,0,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,No library/ cafeteria very small/ no gym,0,0,0,0,None observed,0,0,0,0,0,0,2,0,2,0,0,0,0,15909,118,15,K 1 2 3          EEE,Enter Text,Scott Pashia,2/15/2022,PONCE,Enter Text,0,0,2,0,0,K-3  120 students,0.4,0,0,DALILA TORRES,51334
51862-EAQ-WEBSTER.pdf,0,0,2,2,0,0,0,0,Lots of classrooms are shared with different use since a 2 stories building in campus is not occupied.,0.545455,0,0,0,2,0,0,0,2,Operable partition track in auditorium ,0.6,2,2,0,0,Typical PR desk,1,2,2,2,"Kindergarten: 28x30, typ classroom: 27x25",1.666667,0,0,2,0,0,2,0,"No specific SPED classroom - use other rooms as needed, SPED classrooms were in building affected by earthquake, self contained classroom: 25x26, pullout room: 25x26",0.571429,2,2,2,Science classroom: 24x30 - don't use chemicals so no exhaust,1.428571,0,0,2,2,2,2,2,2,4,0,"2 admin areas, 1 principal office in admin area - roof leaking problems in principal's office, reception area: social worker, health in this area",2,0,0,0,0,0,2,"Library: 24x30 - space shared with speech therapy, cafeteria: 47x25 - no kitchen hood, serves 250 students, no gym/basketball court - use outdoor courtyard; auditorium has operable partition track in center of space, but no partition: 60x25, have to go through auditorium to get to 2 other classrooms",0.75,0,2,2,"Art classroom: 24x30 - used as typ classroom because of space needs, fitness health: 24x30, music classroom: 24x26",1.142857,2,2,2,0,2,0,2,2,0,0,2,2,35108,344,28,K 1 2 3          EEE,Enter Text,Tianyu Zhang,2/16/2022,PONCE,Enter Text,0,2,2,2,0,Concrete wall + iron picket fence ,1.2,0,0,WEBSTER,51862
51870-EAQ-RAFAEL IRIZARRY RIVERA.pdf,0,0,2,2,0,0,0,0,"Has art classroom but no teacher, use as parents/community room",0.727273,2,2,2,2,2,0,0,0,"Classrooms are renovated, new paint and equipment ",1.2,2,2,0,0,Typical PR desk in like new condition ,1,2,0,2,"Classroom: 24x31, smart boards are working",1.666667,0,0,2,2,0,2,2,SPED Classroom: 23x30,1.142857,4,2,2,Science classroom: 31x36 - no exhaust system,2,2,0,0,0,2,2,2,2,2,0,"1 principal office, 4 other offices, nurse office, no conference room, use art classroom for meetings",1.666667,0,2,2,2,0,0,"Library: 30x72 - not in use due to termite issue, cafeteria: (2) dining areas - 28x60 & 60x23 - serves 200 students, have basketball court - roof leakage problems, some lights do not work, have power, some downspouts are damaged or broken",1,0,2,2,"Fitness/health classroom: 24x29, music classroom: 24x31, art classroom: 47x30",0.857143,0,2,2,0,2,2,0,4,2,0,2,2,62064,300,34,7 8 9     EEI,Enter Text,Tianyu Zhang,2/16/2022,PONCE,Enter Text,2,2,2,0,2,"Iron picket fence, recently (2006) renovated, security cameras are available for principal to supervise.",1.6,2,0,RAFAEL IRIZARRY RIVERA,51870
51946-EAQ-RAMON PEREZ PURCELL.pdf,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,2,0,0,0,0,Add notes,0.4,0,0,0,0,Add notes,0,0,0,0,30x40 typical,0.666667,0,0,0,0,0,0,0,Only 2 spaces 10x 20   Too small,0,0,0,0,None observed,0,0,0,0,0,0,0,0,0,0,0,Only 1 office/ too small,0,0,0,0,0,0,0,No library/ cafeteria too small/ no covered gym,0,0,0,0,None observed,0,0,0,0,0,2,2,0,2,0,0,0,0,21522,341,20,K 1 2 3 4 5        EEE,Enter Text,Scott Pashia,2/14/2022,PONCE,Enter Text,0,2,2,4,0,Add notes,1.6,0,0,RAMON PEREZ PURCELL,51946
52050-EAQ-FERNANDO L MALAVE OLIVERAS.pdf,0,0,0,0,0,0,0,2,Add notes,0.181818,0,0,0,2,0,0,0,0,Add notes,0.2,0,0,0,0,Add notes,0,0,0,0,24x30 typical,0.666667,0,0,2,2,2,2,0,Several small group rooms,1.142857,0,0,0,Add notes,0,0,0,0,0,0,0,0,2,0,0,Add notes,0.333333,0,0,2,2,2,0,Add notes,0.75,0,0,0,None observed  Director wants to have an art and music school,0,0,0,0,0,0,2,0,2,0,0,0,0,41142,452,80,K 1 2 3 4 5 6 7 8     EEE,Enter Text,Scott Pnashia,2/16/2022,PONCE,Enter Text,2,0,2,2,2,Some fencing needs repair,1.6,0,0,FERNANDO L MALAVE OLIVERAS,52050
52118-EAQ-EDUARDO NEUMANN GANDIA.pdf,0,0,0,0,2,0,0,0,Add notes Court yard used for playground. Assembly is done at rented venue. ,0.363636,2,2,2,0,2,0,0,0,Add notes,1.2,2,0,0,0,Add notes k and first grade in one arm desk intended for older students,0.5,4,0,2,Add notes,2,2,2,0,2,2,2,2,Add notes,1.714286,0,0,0,Add notes,0,0,0,0,0,4,2,2,0,2,2,Add notes health office is a great size. No fixtures or supplies. School is working on it. ,2,2,0,4,4,0,0,Add notes have outdoor stage in courtyard no seating. Media center has computers and computer desk. Transitioning to digital completely. Internet needs to be more replicable. Provide is not reliable infrastructure appears to be good. ,1.5,0,0,0,Add notes,0,2,0,2,2,2,2,2,2,0,0,0,0,34770,244,25,K 1 2 3 4 5 6 7 8,Enter Text,Mark Kirby,2/17/2022,PONCE,Enter Text,2,4,2,2,0,Add notes,2,0,0,EDUARDO NEUMANN GANDIA,52118
52258-EAQ-JUAN CUEVAS ABOY.pdf,0,2,2,2,4,2,0,2,Add notes share playground with municipal courts / fields next door,1.272727,2,2,2,0,2,0,2,0,Add notes,1.8,2,0,0,2,Add notes,1,4,0,2,Add notes,2.666667,4,2,2,4,4,4,2,Add notes,3.142857,0,0,0,Add notes,0,0,0,0,0,2,0,2,0,4,0,Add notes,1.333333,2,2,2,0,0,4,Add notes media center being used as office for second school housed at this site. Second site school is under renovation. ,1.75,0,0,0,Add notes,0,2,2,0,4,4,2,4,4,0,0,0,0,22780,377,19,K 1 2 3 4 5,Enter Text,Mark Kirby,2/17/2022,PONCE,Enter Text,4,2,2,4,4,Add notes,3.2,0,0,JUAN CUEVAS ABOY,52258
52365-EAQ-LUCY GRILLASCA.pdf,4,4,2,4,4,2,0,2,"Add notes Large court yard used for events, theater has stage, and outdoor learning. Court  yard is not shaded. Shading would make more effective. The school has full use of community gym and fields next door. ",2.545455,4,2,2,0,2,0,0,0,Add notes,1.4,2,0,4,2,Add notes,2,2,2,2,"Add notes Classrooms are small. Need more storage, internet provider not great. ",2,4,2,0,2,4,0,0,Add notes two life skills classrooms separate restroom for classrooms,1.714286,0,0,0,Add notes,0,0,0,0,0,2,2,2,2,2,2,"Add notes two offices and health offices on campus due to two schools meeting on this site, due to one school being damaged and under construction ",2,4,0,0,2,0,0,Add notes the school uses the adjacent municipal fields and gym. ,1.25,0,0,0,Add notes,0,2,2,2,0,4,4,2,0,0,0,0,0,44872,231,23,K 1 2 3 4 5        EEE,Enter Text,Mark Kirby,2/16/2022,PONCE,Enter Text,2,4,4,4,4,Add notes,3.6,2,2,LUCY GRILLASCA,52365
52688-EAQ-DR PILA.pdf,0,0,0,2,0,0,0,0,"Add notes classrooms were vacant, furniture pushed to one side. ",0.181818,4,4,2,0,2,0,0,0,Add notes space existing exterior and interior to display work. Walls had been stripped of all displays ,1.4,4,0,0,0,Add notes,1,4,0,0,Add notes,0.666667,0,0,0,0,0,0,0,Add notes,0,2,2,0,Add notes,1.428571,4,2,0,2,4,2,4,4,4,4,Add notes,3.666667,2,0,2,0,4,0,Add notes Cafateria and dinning damaged by earth Quake in need of repair. Athletic facilities are great. Field house damaged and needs to be replaced. Roof and walls caved in. ,1.75,0,2,2,Add notes,1.714286,4,2,0,2,0,0,0,0,2,0,0,4,61774,330,39,9 10 11 12,School is closed due to damage kitchen dinning and classrooms above,Mark Kirby,2/17/2022,PONCE,Enter Text,4,4,2,4,0,Add notes,2.8,0,0,DR PILA,52688
53330-EAQ-ALMACIGO ALTO II.pdf,0,0,2,0,2,0,0,2,"Add notes outdoor gym used for assemblies, has outdoor stage and seating",0.909091,2,2,0,2,2,0,2,2,Add notes,1.6,2,2,2,2,Add notes,2,2,0,2,Add notes,1.666667,2,0,0,2,4,2,2,Add notes,1.714286,0,0,0,Add notes,0,0,0,0,0,0,2,2,2,2,0,Add notes,1.333333,4,0,2,2,4,2,Add notes outdoor stage not in use due to covid,2.25,0,0,0,Add notes,0,2,2,2,0,4,2,2,2,0,0,0,0,12620,108,11,K 1 2 3 4 5        EEE,Enter Text,Mark Kirby,2/15/2022,PONCE,Enter Text,2,2,4,2,0,Add notes,2,2,0,ALMACIGO ALTO II,53330
53363-EAQ-ARTURO LLUBERAS.pdf,0,0,0,0,0,0,0,2,Add notes Campus was closed and locked for the most part two classrooms observed with sever structural damage. ,0.181818,2,0,0,0,0,0,0,0,Add notes campus is locked up only 2 classrooms were open and available. Classrooms were standard 4 wall. ,0.2,0,0,0,0,Add notes,0,2,0,0,Add notes,0.666667,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,0,0,0,Add notes,0,0,0,0,0,0,0,Add notes,0,0,0,0,Add notes,0,0,0,0,0,0,0,0,2,0,0,0,0,18000,201,16,K 1 2 3 4 5        EEE,Enter Text,,,PONCE,Campus is not active. Structural damage. Buildings not safe. ,2,2,0,0,0,Add notes Campus has not been maintained in three years,0.8,0,0,ARTURO LLUBERAS,53363
53470-EAQ-ERNESTO RAMOS ANTONINI.pdf,0,0,2,0,2,0,0,0,Have SPED pullout classroom,0.727273,2,2,2,2,0,0,0,0,Lots of artists wall painting,0.8,2,2,0,0,Typical PR desk,1,2,2,0,Classroom: 27x24,1.333333,0,0,0,0,0,0,0,N/A,0,2,2,0,Science classroom: 40x24 - don't use chemicals - has sink,1.428571,2,2,2,2,0,2,2,2,0,0,"1 secretary office, 1 principal office - no conference room - use theater for larger meeting, smaller meetings in a typical classroom, has nurse office",1,0,2,0,0,0,4,"Theater shared with the community, cafeteria: 65x24 - not used, no hood; library: 26x32 - computers do not work; auditorium: 84x39 - has office and 2 dressing rooms backstage, several backstage rooms",1,2,0,0,"Specialized performing arts school, basketball court and typical classroom used for fitness education",1.428571,0,2,2,0,0,2,0,2,2,0,2,2,45180,379,35,6 7 8 9 10 11 12  EEI EES,Enter Text,Tianyu Zhang,2/15/2022,PONCE,Enter Text,0,2,2,2,0,Iron picket fence,1.2,2,0,ERNESTO RAMOS ANTONINI,53470
53512-EAQ-LUIS MUÑOZ RIVERA.pdf,0,2,2,0,0,0,0,0,"Contained seat in pull out room, autism room larger with equipment for independent living education",0.727273,2,2,2,2,0,0,0,2,Operable wall in between classrooms.,1,0,0,0,0,Add notes,0,0,2,0,"Kindergarten: 31x29, typical classroom: 25x29 - classrooms could be expanded (separated by partitions)",1,0,0,2,0,4,2,0,SPED Classroom: 22x24; autism room larger with equipment for independent living education - students have their own locker,1.142857,2,2,0,Science classroom: 25x30 - no chemicals (no exhaust),0.857143,0,0,0,0,0,2,2,2,2,0,"1 office, 1 principal office, no conference room - use auditorium or typical classroom; principal office has a conference table, psychology office: 20x12, health office: 24x10",1.333333,0,0,0,0,0,0,"Kitchen staff work in 53702 Santiago Negroni school and prepare meals for this school, takeout only during Covid. Cafeteria demolished after earthquake, library: 20x26, exterior basketball court",0,0,2,0,Fitness/health class taught in typical classroom,0.285714,0,0,2,0,0,0,2,2,0,0,2,0,26912,177,21,K 1 2 3 4 5        EEE,Enter Text,Tianyu Zhang,2/15/2022,PONCE,Enter Text,0,2,2,2,2,Iron picket fence + concrete retaining wall,1.6,2,0,LUIS MUÑOZ RIVERA,53512
53579-EAQ-LUIS A FERRE AGUAYO.pdf,0,0,0,2,0,0,0,0,Add notes,0.181818,0,0,0,0,2,2,0,0,Add notes,0.4,0,0,0,0,Add notes,0,2,0,0,Add notes,1,2,0,0,2,2,2,0,Add notes,1.142857,0,0,0,Add notes,0,0,0,0,0,2,2,2,2,2,2,Add notes,2,0,0,0,0,0,0,Add notes SCHOOL HAS BEEN OUT OF OPERATION FOR 3 YEARS. KITCHEN REFRIGERATOR AND FREEZER ARE THE ONLY ITEMS STILL FUNCTIONAL. ,0,0,0,0,Add notes,0,0,0,0,0,0,2,2,0,0,0,0,0,20518,108,13,K 1 2 3 4 5        EEE,SCHOOL IS NOT SAFE STRUCTURAL DAMAGE,MARK KIRBY,2/14/2022,PONCE,Enter Text,0,0,0,2,0,Add notes,0.4,0,0,LUIS A FERRE AGUAYO,53579
53603-EAQ-ELVIRA  VICENTE.pdf,0,0,0,2,0,0,0,0,"School is not occupied, some information is missing since rooms are not accessible.",0.181818,0,0,0,0,0,0,0,0,"School is not occupied, some information is missing since rooms are not accessible.",0,0,0,0,0,"School is not occupied, some information is missing since rooms are not accessible.",0,0,0,0,"School is not occupied, some information is missing since rooms are not accessible.",0,0,0,0,0,0,2,0,"SPED Classroom: 23x20, separated from other room by wood partition",0.285714,0,0,0,"School is not occupied, some information is missing since rooms are not accessible.",0,0,0,0,0,0,0,0,0,0,0,"1 offices, 1 principal office, no conference room - use library",0,0,2,0,0,0,0,"Have small outside and uncovered basketball court, library: 55x23, cafeteria: 48x52",0.25,0,0,0,"School is not occupied, some information is missing since rooms are not accessible.",0,0,0,0,0,0,0,0,0,0,0,0,0,28402,222,19,6 7 8,Enter Text,Tianyu Zhang,2/15/2022,PONCE,Enter Text,0,2,2,0,0,"Only able to access inside of some buildings due to safety concerns over structure, iron picket fence and concrete wall fence",0.8,0,0,ELVIRA  VICENTE,53603
53686-EAQ-SU JAIME CASTAÑER.pdf,0,0,0,0,0,0,0,0,Add notes,0.545455,2,0,0,2,2,2,0,0,Add notes,1.2,2,0,0,0,Add notes,0.5,2,0,2,Add notes,2,2,2,0,4,2,2,2,Add notes,2,0,0,0,Add notes,0,0,0,0,0,2,0,2,2,0,0,Add notes,1,2,0,2,2,2,0,Add notes out door gym,1.75,0,0,0,Add notes,0,2,4,2,2,2,2,4,2,0,0,0,0,13826,123,17,K 1 2 3 4 5 6 7 8,Enter Text,Mark Kirby,2/15/2022,PONCE,Enter Text,0,0,4,2,0,Add notes,1.2,2,2,SU JAIME CASTAÑER,53686
53702-EAQ-SANTIAGO NEGRONI.pdf,0,0,2,0,0,0,0,0,Pull out space at 2nd floor stair landing,0.363636,2,0,2,2,0,0,0,0,"Operable partition in between auditorium, which is used as classrooms ",0.6,2,2,0,0,Typical PR desk,1,0,2,0,"Kindergarten: 29x31, typ classroom: 27x23, underground classroom is occupied, no ramp between 1st and 2nd floor.",1.333333,0,0,0,0,0,0,0,SPED used to be in other building after earthquake damage it's in main building corridor.,0,2,2,0,Science classroom: 28x24 - no exhaust system,1.142857,0,0,2,0,0,2,0,2,2,0,"1 principal office, 2 offices, no conference room - meetings occur in typical classroom, has nurse office",1,0,2,0,0,0,0,"Cafeteria: 62x26 - serve 90 students, slab trenched propane line, use municipality gymnasium, library: 24x27 - used for kindergarten too, computer lab: 17x23, auditorium on 2nd floor: multipurpose space divided with partitions to create classrooms due to other poor condition building",0.25,0,2,0,"Fitness/health classroom: 28x23, music classroom: 28x23, both in basement, low door height low ceiling.",0.571429,0,0,2,0,0,2,2,2,0,0,2,2,24554,241,20,K 1 2 3 4 5,Enter Text,Tianyu Zhang,2/15/2022,PONCE,Enter Text,0,2,2,2,0,Historic building,1.2,0,0,SANTIAGO NEGRONI,53702
53744-EAQ-BENICIA VELEZ.pdf,0,0,0,0,0,0,0,0,Has kindergarten playground but eqmt is in disrepair,0,0,0,0,0,0,0,0,0,"Classrooms are not in use, operable wood partition in between classroooms",0,2,2,0,0,Add notes,1,0,2,0,"Kindergarten: 30x28 - leaking roof issues, termite issues, Classroom: 28x25 - operable wood partition between classrooms",0.666667,0,0,0,0,0,2,0,SPED classroom: 18x19,0.285714,0,0,0,"N/A - no specific room for science, CTE, etc.",0,0,0,0,0,0,2,0,0,0,0,"1 office, no conference - meetings held in library",0.333333,0,0,0,0,0,0,"Library: 25x24, cafeteria: 33x26, basketball court - no power/lights",0,0,0,0,N/A,0,0,0,0,0,0,0,0,2,0,0,0,0,13612,115,10,K 1 2 3 4 5,Enter Text,Tianyu Zhang,2/14/2022,PONCE,Enter Text,0,0,2,0,0,"Wire mesh fence, iron picket gate and fence",0.4,0,0,BENICIA VELEZ,53744
54247-EAQ-LIBRADO NET.pdf,0,2,2,4,0,0,0,2,Add notes the school uses municipal  facilities for outdoor Pe.,1.090909,2,2,2,0,2,0,2,4,Add notes,2,2,0,2,2,Add notes,1.5,2,0,2,Add notes,1.666667,4,2,0,2,4,2,2,Add notes,2.285714,0,0,0,Add notes,0,2,2,0,2,2,0,2,2,2,0,Add notes,1.333333,4,0,0,4,0,0,Add notes share fields and courts with municipal,1.5,0,2,2,Add notes,1.428571,2,2,0,2,4,2,4,0,0,0,0,0,18394,173,17,PK K 1 2 3 4 5,Enter Text,Mark Kirby,2/17/2022,PONCE,Enter Text,4,2,2,2,4,Add notes,2.8,2,0,LIBRADO NET,54247
54429-EAQ-INTERMEDIA TALLABOA ALTA.pdf,0,0,0,0,0,0,0,0,"Poor condition school, some structural issues are covering by paint",0,0,0,0,2,0,0,0,0,Poor condition classrooms ,0.2,2,2,0,0,Typical PR desk (poor),1,0,2,0,"Typ classroom: 26x24, solar panels for backup power for 4 classrooms and kitchen",0.666667,0,0,2,0,0,2,0,SPED Classroom: 24x26 - used currently as a regular classroom,0.571429,2,2,0,"No science classroom - teachers rotate to different classrooms, students stay put, CTE classroom: 23x51",0.571429,0,0,0,0,0,2,2,2,0,0,"1 admin room + storage room, no conference room - use library for meetings, has nurse office - used for classes",1,0,2,0,0,0,0,"Library: 29x40, cafeteria: 36x24 - not being used, use another school's kitchen because of damage, kitchen storage room has what look like Tesla batteries (may be solar power storage?)",0.25,0,0,0,Use municipal facility for fitness/health education,0,0,0,0,0,0,0,0,2,0,0,0,0,14480,107,13,4 5 6 7 8,Enter Text,Tianyu Zhang,2/16/2022,PONCE,Enter Text,0,0,2,0,0,"Iron picket fence, poor condition ",0.4,0,0,INTERMEDIA TALLABOA ALTA,54429
54684-EAQ-MARIA E ARCHEVAL SALAMO DE VALDES.pdf,0,0,0,0,0,0,0,0,No students currently on site,0,0,0,0,2,4,4,0,0,Add notes,1.4,0,0,0,0,Add notes,0,0,0,4,Add notes,1.333333,0,0,0,0,0,0,0,No current SPED,0,4,2,4,Many spaces current equipped with lab support ,2.571429,0,0,0,0,4,0,2,4,2,4,Add notes,2.666667,0,0,0,2,4,0,Add notes,1.5,0,0,0,None currently,0,4,2,0,4,0,2,0,2,2,2,2,2,154090,,30,13 14,Enter Text,Scott Pashia,2/16/2022,PONCE,Enter Text,2,2,4,0,0,Previous community college being converted to 6-12 and central office,1.6,0,0,MARIA E ARCHEVAL SALAMO DE VALDES,54684
54866-EAQ-DR ALFREDO M AGUAYO.pdf,0,0,0,0,0,0,0,0,Add notes Class rooms are not functional at this point. All furniture pilled in middle under plastic. No one could give us any info on how the programs run. ,0,2,4,2,2,0,0,0,0,Add notes everything was removed from walls. No way to figure this out. ,1,0,0,0,0,Add notes furniture pilled in middle of rooms and covered. ,0,4,2,0,"Add notes everything taken down from walls, internet was off, security cameras were off. ",1,0,0,0,0,0,0,0,Add notes Persons walking us around had no idea of SPED other than they have some ,0,0,0,0,Add notes no information available. We took pictures through the outside windows from the outside for first floor rooms that were open enough to take pictures of. ,0,0,0,0,0,0,0,0,0,0,0,Add notes office was not open. All furniture removed or pilled in middle of room and covered. Everything taken off walls. ,0,0,0,0,0,2,0,Add notes open basket ball court is the only gym play area. ,0.25,0,0,0,Add notes Open court yard with basketball court the only play area observed. No bleachers,0,0,0,0,0,0,0,0,0,0,0,0,0,61325,171,49,K 1 2 3 4 5 6 7 8,"School is undergoing heavy renovations. Renovations stopped. Nothing on walls, furniture removed or pilled in middle of rooms and covered. Layout is good if they can fix the structure. Large classrooms. ",Mark Kirby,2/16/2022,PONCE,Enter Text,2,0,0,0,0,Add notes School is shut down for repairs. Repairs have stopped. No schedule to return. ,0.4,0,0,DR ALFREDO M AGUAYO,54866
