,School Scrubbed Address,Project Scrubbed Address,Similarity,ProjectKey,ProjectKey,ProjectName,ContractStatus,Status,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
769,4120 constitution avenue colorado springs co 80909,6113 constitution ave colorado springs co 80915,0.8417403177492191,20354,20354,Falcon Virtual Academy,Revised Contract,D,Academic,MADISON ELEMENTARY SCHOOL,347,20000.0,57.636887608069166
1206,9155 tutt boulevard colorado springs co 80924,9155 tutt blvd  colorado springs co 80924,0.8401391547387672,19548,19548,Ranch Creek Elementary School,No Revised Contract,D,,RANCH CREEK ELEMENTARY,559,57000.0,101.96779964221825
527,25211 south 68 street firth ne 68358,25211 south 68th street firth ne 683589732,0.8395244554765622,3201,3201,Norris Firth Middle School Programming N,No Contract,D,Middle School,NORRIS INTERMEDIATE SCHOOL,579,76574.0,132.25215889464593
569,2951 markeley ln  fairfield ca 94533,2951 markley lane fairfield ca 94533,0.8380756263593225,1467,1467,Travis USD - Vanden HS New Library Bldg,Contract,D,Academic,VANDEN HIGH,1700,11575.0,6.8088235294117645
1186,8969 park dr ralston ne 68127,8969 park drive ralston ne 681273690,0.8374363380165787,6296,6296,Ralston High School,Contract,D,High School,RALSTON HIGH SCHOOL,1027,255600.0,248.88023369036028
229,1313 s 208th st elkhorn ne 68022,1313 south 208 street elkhorn ne 68022,0.8365489811741345,3870,3870,Elkhorn New Middle School,Contract,D,Middle School,ELKHORN VALLEY VIEW MIDDLE SCHOOL,591,115000.0,194.58544839255498
675,34424 1st av s federal way wa 98003,34424 1st avenue south federal way wa 98005,0.8352030533860284,27300,27300,Federal Way Sch Dist-Panther Lake Elem+,Revised Contract,D,Elementary School,PANTHER LAKE ELEMENTARY SCHOOL,425,45000.0,105.88235294117646
673,34424 1st av s federal way wa 98003,34424 1st avenue south federal way wa 98005,0.8352030533860284,27302,27302,Federal Way Sch Dist-Panther Lake Elem,Revised Contract,D,Elementary School,PANTHER LAKE ELEMENTARY SCHOOL,425,46000.0,108.23529411764706
674,34424 1st av s federal way wa 98003,34424 1st avenue south federal way wa 98005,0.8352030533860284,27304,27304,Federal Way Sch Dist-Panther Lake Elem,Revised Contract,D,Elementary School,PANTHER LAKE ELEMENTARY SCHOOL,425,46000.0,108.23529411764706
350,1811 hyland dr storm lake ia 50588,storm lake middle school 1811 hyland drive storm lake ia 50588,0.8348539008624934,103433,103433,Storm Lake Middle School Gym Addition,Contract,I,Middle School,STORM LAKE MIDDLE SCHOOL,719,12800.0,17.80250347705146
1091,7775 nw kaiser rd  portland or 97229,7805 nw kaiser road portland or 97229,0.8348057209051829,83599,83599,Beaverton SD N. Kaiser K5 Sato,Contract,I,Elementary School,SATO ELEMENTARY SCHOOL,671,88400.0,131.74366616989568
448,2101 w alta vista rd phoenix az 85041,2101 west alta phoenix az 85040,0.8344803593800116,14995,14995,Pastor Elementary School Addition,Contract,D,Elementary School,ED & VERMA PASTOR ELEMENTARY SCHOOL,522,9260.0,17.739463601532567
1064,7500 western ave omaha ne 68114,7400 western avenue omaha ne 68114,0.8343045282777058,3315,3315,Creighton Prep HS Athletic Addn,Contract,D,High School,HILLSIDE ELEMENTARY SCHOOL,380,81000.0,213.1578947368421
454,2120 west arkansas avenue denver co 80223,2120 w arkansas ave denver co,0.8339342103907074,92854,92854,DPS Godsman ES HVAC,Contract,I,Elementary School,GODSMAN ELEMENTARY SCHOOL,362,30000.0,82.87292817679558
416,2001 avenue b fort madison ia 52627,20th street & avenue b fort madison ia 52627,0.8333275742808864,7423,7423,Fort Madison CSD Locker Rm Renvoations,,D,,FORT MADISON HIGH SCHOOL,567,1260.0,2.2222222222222223
670,3400 13th st se minot nd 58701,34th ave se and 13th st se minot nd 58701,0.8329060264563725,68804,68804,Minot Public Schools New ES,Contract,D,Academic,JOHN HOEVEN ELEMENTARY SCHOOL,481,76730.0,159.52182952182952
162,1215 linden ave chariton ia 50049,1215 linden avenue chariton ia 500491942,0.8327189939584186,8588,8588,Columbus Elementary School Renovation,Contract,D,Elementary School,COLUMBUS ELEMENTARY SCHOOL,254,32145.0,126.55511811023622
320,17032 w surprise farms loop s surprise az 85388,surprise az,0.831400862913085,13698,13698,Nadaburg Elementary School          N,,D,,CIMARRON SPRINGS ELEMENTARY,806,55515.0,68.87717121588089
321,17032 w surprise farms loop s surprise az 85388,surprise az,0.831400862913085,13700,13700,Nadaburg Design Phase Change Orders,Contract,D,,CIMARRON SPRINGS ELEMENTARY,806,55440.0,68.78411910669975
67,1035 15th st nevada ia 50201,1035 15th street nevada ia,0.8312932323398033,8383,8383,Nevada CSD Additions-Renovations,Contract,D,High School,NEVADA MIDDLE SCHOOL,464,14000.0,30.17241379310345
375,19110 greenleaf street omaha ne 68136,19110 greenleaf street gretna ne 68136,0.8310507321284173,5182,5182,Gretna Elementary School No. 4 Whitetail,Contract,D,Elementary School,WHITETAIL CREEK ELEMENTARY,605,73000.0,120.66115702479338
260,1427 6th ave nw east grand forks mn 56721,1427 6th avenue northwest east grand forks mn 56721,0.8307062037554837,23985,23985,East Grand Forks Elem Sch #2   River Hei,,D,Elementary School,NEW HEIGHTS ELEMENTARY,482,75000.0,155.60165975103735
788,4250 state route 71 oswego il 60543,4209 route 71 oswego il 60543,0.8297133027281955,12441,12441,Oswego 2008 Life Safety-East View,Revised Contract,D,Elementary School,OSWEGO HIGH SCHOOL,2848,65000.0,22.823033707865168
1210,9233 vista del pico blvd colorado springs co 80927,9433 vista del pico blvd colorado springs co,0.8295152045966055,66378,66378,BLRA MS/HS,Contract,I,Academic,INSPIRATION VIEW ELEMENTARY SCHOOL,379,83065.0,219.1688654353562
677,34684 hwy 10 excelsior springs mo 64024,hwy 10 east po box 248 excelsior springs mo 64024,0.8287330678642515,10285,10285,Elkhorn Elem Sch Addition,,D,,ELKHORN ELEMENTARY,217,12500.0,57.6036866359447
47,1010 nw prairie ridge dr ankeny ia 50023,1010 northwest prairie ridge ankeny ia 50021,0.8284647658816102,9003,9003,Ankeny CSD-Northview MS-Locker Room,,D,,PRAIRIE RIDGE MIDDLE SCHOOL,977,26000.0,26.61207778915046
46,1010 nw prairie ridge dr ankeny ia 50023,1010 northwest prairie ridge ankeny ia 50021,0.8284647658816102,8998,8998,Ankeny CSD-Ph II Northview MS Addn,,D,,PRAIRIE RIDGE MIDDLE SCHOOL,977,26000.0,26.61207778915046
15,100 broad street milliken co 80543,milliken co 80543,0.8276097491321301,20596,20596,Johnstown-Milliken Re-5J Sch   Dist-Earl,,D,,MILLIKEN ELEMENTARY SCHOOL,617,8000.0,12.965964343598054
1098,800 3rd ave audubon ia 50025,800 third avenue audubon ia 50025,0.827214771056682,76492,76492,Audubon Elem. School Renovation,Contract,D,Elementary School,AUDUBON MIDDLE-HIGH SCHOOL,308,22780.0,73.96103896103897
246,13930 ne 6th st alleman ia 50007,1390 ne 6th street alleman ia 50007,0.8234454276260044,8872,8872,North Polk HS FFE Contract,Contract,D,High School,NORTH POLK HIGH SCHOOL,515,129000.0,250.48543689320388
1134,819 n 16th st denison ia 51442,denison high school 819 north 16th street denison ia 51442,0.8230767136326035,109251,109251,Denison High School Re-Roof,Contract,I,High School,DENISON HIGH SCHOOL,780,57300.0,73.46153846153847
1167,83800 airport blvd  thermal ca 92274,83800 airport boulevard thermal ca 92274,0.8230444418601136,30131,30131,Coachella Valley HS Modernization,,D,High School,COACHELLA VALLEY HIGH,2706,19505.0,7.208056171470806
588,301 g street milford ne 68405,301 g street box c milford ne 684050613,0.8226910580794801,6322,6322,Milford Jr Sr HI Sch Gym/Music Addn,,D,High School,MILFORD HIGH SCHOOL,318,33834.0,106.39622641509433
897,51433 ed way coachella ca 92236,51433 education way coachella ca 92236,0.8220538972569646,30139,30139,CVUSD Valle Del Sol Elem Sch,,D,Academic,VALLE DEL SOL ELEMENTARY,763,52000.0,68.15203145478375
944,6000 109th ave n champlin mn 55316,6000 109th avenue north champlin mn 553163499,0.8218383802992679,21194,21194,AH ISD - Jackson Middle/Oxbow Elementary,,D,,JACKSON MIDDLE,2076,4380.0,2.1098265895953756
31,1001 e main st vermillion sd 57069,1001 east main street vermillion sd 570693314,0.8213381347703125,11433,11433,Vermillion High School Addition,,D,,VERMILLION HIGH SCHOOL - 01,366,111000.0,303.27868852459017
32,1001 e main st vermillion sd 57069,1001 east main street vermillion sd 570693314,0.8213381347703125,6158,6158,"Vermillion, SD-High School Addition",,D,,VERMILLION HIGH SCHOOL - 01,366,48000.0,131.14754098360655
1198,902 main st plattsmouth ne 68048,plattsmouth early childhood center 902 main street plattsmouth ne 68048,0.8213004940537626,102547,102547,Plattsmouth Early Childhood Renovations,Master Contract,A,Academic,PLATTSMOUTH EARLY CHILDHOOD,169,2000.0,11.834319526627219
1090,777 west euclid avenue littleton co 80120,1603 east euclid avenue littleton co 80121,0.820711671441066,20502,20502,Franklin Elementary School,,D,,EUCLID MIDDLE SCHOOL,774,49325.0,63.72739018087855
317,1700 glenwood ave crete ne 68333,16th and glenwood avenue crete ne 68333,0.8206216708618413,4683,4683,Crete Middle School Classroom Addition,Contract,D,Middle School,CRETE INTERMEDIATE SCHOOL,421,13420.0,31.87648456057007
238,13401 amberly rd waverly ne 68462,13401 amberly road box 426 waverly ne 684620426,0.8192702602868167,3352,3352,Waverly High School Addition,Contract,D,High School,WAVERLY HIGH SCHOOL,637,25500.0,40.031397174254316
26,1000 schroder dr cresco ia 52136,crestwood high school 1000 schroder drive cresco ia 52136,0.8187760028918818,70297,70297,Crestwood HS - Stadium Improvements,Contract,D,Athletic Field,CRESTWOOD HIGH SCHOOL,580,2580.0,4.448275862068965
25,1000 schroder dr cresco ia 52136,crestwood high school 1000 schroder drive cresco ia 52136,0.8187760028918818,68157,68157,Crestwood HS - Window Replacement,Contract,I,High School,CRESTWOOD HIGH SCHOOL,580,1874.0,3.231034482758621
896,51375 van buren st coachella ca 92236,van buren and avenue 52 coachella ca 92236,0.8181880651239279,31046,31046,CVUSD - Coral Mountain Academy,,D,Academic,CORAL MOUNTAIN ACADEMY,886,52000.0,58.690744920993225
171,1230 5th st nw bemidji mn 56601,conifer ave nw  bemidji  mn bemidji mn 56601,0.81811621278704,85573,85573,Bemidji Upper Elementary School,Contract,D,Elementary School,FIRST CITY SCHOOL,53,120000.0,2264.1509433962265
672,3434 discoverer drive columbus ne 68602,3434 discoverer drive discoverer subdivision columbus ne 68601,0.8176203156685803,80781,80781,Columbus New High School,Contract,D,High School,COLUMBUS HIGH SCHOOL,1309,260000.0,198.62490450725744
542,2675 21st st w dickinson nd 58601,21st st w and 60th ave w dickinson nd 58601,0.8169640795890462,72309,72309,Dickinson New Middle School  Design,Contract,D,Middle School,DICKINSON MIDDLE SCHOOL,901,212000.0,235.2941176470588
541,2675 21st st w dickinson nd 58601,21st st w and 60th ave w dickinson nd 58601,0.8169640795890462,71493,71493,Dickinson New Middle School  Design,Contract,D,Middle School,DICKINSON MIDDLE SCHOOL,901,198000.0,219.7558268590455
242,13651 4th ave s zimmerman mn 55398,13651 fourth avenue south zimmerman mn 55398,0.815494213013084,20889,20889,Westwood Elementary,,D,Elementary School,WESTWOOD ELEMENTARY,555,75000.0,135.13513513513513
1184,88131 territorial rd veneta or 97487,88831 territorial road veneta or 997487,0.8149592469959352,68697,68697,Fern Ridge Middle School,Contract,I,Middle School,VENETA ELEMENTARY SCHOOL,365,8000.0,21.91780821917808
754,4029 n las virgenes rd  calabasas ca 91302,1666 las virgenes canyon rd calabasas ca 91302,0.8149195385121826,35246,35246,Muse School - Phase I Remodel +,Revised Contract,D,Elementary School,ARTHUR E. WRIGHT MIDDLE,739,14000.0,18.944519621109606
683,3500 74th st urbandale ia 50322,3500 7th street urbandale ia 50322,0.8140050340736128,15402,15402,Karen Acres ES Addition & Renovation,Contract,D,Elementary School,KAREN ACRES ELEMENTARY SCHOOL,393,11300.0,28.75318066157761
1120,815 e 13th st des moines ia 50316,east high school 815 e 13th street des moines ia 50316,0.813059192520473,110484,110484,East High School - Auditorium Renovation,Contract,A,theatre,EAST HIGH SCHOOL,2097,12305.0,5.867906533142585
655,3305 92nd st urbandale ia 50322,urbandale new elementary school 2 3305 92nd street urbandale ia 50322,0.812731498280037,118819,118819,Urbandale New Elementary School #2,Contract,A,Elementary School,VALERIUS ELEMENTARY SCHOOL,287,118000.0,411.1498257839721
502,2369 109th ave nw coon rapids mn 55433,2369 109th avenue nw coon rapids mn 55343341,0.8124456789048583,21166,21166,AH ISD - Hoover Elementary,,D,,HOOVER ELEMENTARY BIOMED SCI EGNG,476,4380.0,9.201680672268907
838,48827 n black canyon hwy phoenix az 85087,48827 n black canyon hwy new river az 85087,0.8123664966678358,13648,13648,New River Elem. School,,D,Academic,NEW RIVER ELEMENTARY SCHOOL,251,49712.0,198.0557768924303
264,14541 castlewood st waverly ne 68462,14541 castlewood po  box 426 waverly ne 684620426,0.8104721010068474,2746,2746,Hamlow Elem School (Waverly Public Sch),,D,,EVELYN HAMLOW ELEMENTARY,374,6500.0,17.379679144385026
1158,83 school street carlisle ma 1741,carlisle high school 430 school street carlisle ia 50047,0.8101663967425735,106891,106891,Carlisle HS Indoor Activity Center,Contract,I,High School,CARLISLE SCHOOL,597,57500.0,96.31490787269682
54,102 s boone st boone ia 50036,boone high school 500 7th street boone ia 50036,0.8094810911142489,93043,93043,Boone HS Auditorium Sound & Lighting,Contract,I,theatre,PAGE ELEMENTARY SCHOOL,173,8806.0,50.90173410404624
55,102 s boone st boone ia 50036,boone high school 500 7th street boone ia 50036,0.8094810911142489,109311,109311,Boone HS Elevator Replacement,Contract,I,Academic,PAGE ELEMENTARY SCHOOL,173,49.0,0.2832369942196532
270,1500 e 15th st crete ne 68333,1500 e 15th st crete ne,0.8090546298084627,4687,4687,Crete High School Elevator Addition,Contract,D,High School,CRETE MIDDLE SCHOOL,439,320.0,0.7289293849658315
376,1916 old hwy 34 plattsmouth ne 68048,plattsmouth high school 1916 us34 plattsmouth ne 68048,0.8084756347049523,102097,102097,Plattsmouth Comm Sch HS Vo-Tech Addn,Contract,A,Academic,PLATTSMOUTH HIGH SCHOOL,530,24000.0,45.283018867924525
954,606 east 4th street chaska mn 55318,401 east fourth street chaska mn 55318,0.8084616833549436,21027,21027,Carver-Scott Educational Cooperative,,D,High School,SW METRO CCJ,4,17800.0,4450.0
959,6101 scandia tr n forest lake mn 55025,6101 scandia trail n forest lake mn,0.8083491403236623,84957,84957,Forest Lake High School Add/Remode,Revised Contract,D,High School,FOREST LAKE AREA HIGH SCHOOL,1972,237811.0,120.59381338742394
800,43739 hwy 89 oxford ne 68967,43739 highway 89 oxford ne 689670000,0.8082647162614934,5881,5881,Southern Valley Junior/Senior High Schoo,,D,,SOUTHERN VALLEY JR/SR HIGH,173,87000.0,502.8901734104046
284,1524 e 103rd st los angeles ca 90002,2265 e 103rd street los angeles ca 90002,0.8066678666087241,83015,83015,Swinerton - Jordan HS,No Contract,D,High School,THOMAS RILEY HIGH,47,220448.0,4690.382978723404
973,629 north st underwood ia 51576,629 north street underwood ia,0.8060341639042224,8820,8820,Underwood High School Addition,Contract,D,High School,UNDERWOOD HIGH SCHOOL,248,28920.0,116.61290322580645
1179,8801 pearson rd austin tx 78717,8501 pearson ranch road austin tx 78717,0.8057477590347036,69951,69951,Round Rock ISD High School #6,Contract,D,High School,ELSA ENGLAND EL,1277,482315.0,377.6938136256852
432,204 n league rd colfax ia 50054,colfaxmingo high school 204 n league rd  colfax ia 50054,0.8036122669420478,6997,6997,Colfax-Mingo CSD Athletic Improvement,Contract,A,High School,COLFAX-MINGO HIGH SCHOOL,356,37000.0,103.93258426966293
434,204 n league rd colfax ia 50054,colfaxmingo high school 204 n league rd  colfax ia 50054,0.8036122669420478,74692,74692,Colfax-Mingo CSD Athletic Improve,Contract,A,High School,COLFAX-MINGO HIGH SCHOOL,356,39150.0,109.97191011235955
433,204 n league rd colfax ia 50054,colfaxmingo high school 204 n league rd  colfax ia 50054,0.8036122669420478,112211,112211,Colfax-Mingo CSD Athletic Improements,Contract,I,High School,COLFAX-MINGO HIGH SCHOOL,356,37000.0,103.93258426966293
358,1841 sw merlo dr beaverton or 97003,16550 sw merlo rd beaverton or 97003,0.8035812871731437,83768,83768,Beaverton SD Master Agreement,No Contract,D,Elementary School,COMMUNITY SCHOOL,127,88400.0,696.0629921259842
567,2930 w bethany home rd phoenix az 85017,1130 bethany home road phoenix az,0.8035189752241095,70295,70295,Madison School District,Contract,I,Industrial,BENNETT ACADEMY,175,12320.0,70.4
1188,900 n martin luther king ave oklahoma city ok 73117,900 n martin luther king avenue oklahoma city ok 00000,0.8029762386102753,24755,24755,Douglass High School and Stadium,Contract,D,,DOUGLASS HS,486,210000.0,432.0987654320988
14,100 71st avenue greeley co 80634,71st ave and 8th street greeley co 80634,0.8026575870343959,115542,115542,WCSD6 New K-8 Facility,Contract,A,Academic,NORTHRIDGE HIGH SCHOOL,1157,142000.0,122.73120138288678
696,3600 alabama ave se washington dc 20020,3600 alabama avenue se dc 20020,0.8021327254816624,85372,85372,Anne Beers Elementary School,No Contract,D,Academic,BEERS ES,479,42000.0,87.68267223382045
422,2015 east lake st minneapolis mn 55407,2727 east lake street minneapolis mn 55406,0.8007269087846611,20942,20942,East Lake Library,,D,Library,TRANSITION PLUS SERVICES,261,16800.0,64.36781609195403
1194,901 esplanade chico ca 95926,901 esplanade chico ca 95826,0.8006770533958298,32018,32018,Chico HS New Classroom Building,Contract,D,Academic,CHICO HIGH,1747,42183.0,24.145964510589582
1193,901 esplanade chico ca 95926,901 esplanade chico ca 95826,0.8006770533958298,32020,32020,Chico HS New Classroom Building,Contract,D,Academic,CHICO HIGH,1747,30000.0,17.172295363480252
126,11327 shaker blvd ste 200 e cleveland oh 44104,11327 shaker boulevard cleveland oh 44104,0.800092131612901,82692,82692,St. Luke's Hospital East Wing Renovation,,D,Mixed Use,INTERGENERATIONAL SCHOOL THE,247,82200.0,332.79352226720647
759,404 4th ave ne napavine wa 98565,p o  box 840 napavine wa 98565,0.7999626876395933,30022,30022,Napavine K-8 Addition,,D,,NAPAVINE JR SR HIGH SCHOOL,404,20849.0,51.60643564356435
760,404 4th ave ne napavine wa 98565,p o  box 840 napavine wa 98565,0.7999626876395933,30027,30027,Napavine K-8 Modernization,,D,,NAPAVINE JR SR HIGH SCHOOL,404,21654.0,53.5990099009901
390,1999 47th ave s grand forks nd 58201,1999 47th avenue south grand forks nd 85201,0.79960114170821,23990,23990,Grand Forks New Ms At Ulland   Park Site,,D,,SOUTH MIDDLE SCHOOL,571,138065.0,241.79509632224168
315,1700 california klamath falls or 97601,conger elementary school 1700 california st klamath falls or 97601,0.7994471535680434,61506,61506,Klamath Falls City Schools - Conger Addi,,D,Elementary School,JOSEPH CONGER ELEMENTARY SCHOOL,397,5000.0,12.594458438287154
314,1700 california klamath falls or 97601,conger elementary school 1700 california st klamath falls or 97601,0.7994471535680434,61504,61504,Klamath Falls City Schools - Conger Addi,,D,Elementary School,JOSEPH CONGER ELEMENTARY SCHOOL,397,5000.0,12.594458438287154
316,1700 california klamath falls or 97601,conger elementary school 1700 california st klamath falls or 97601,0.7994471535680434,61505,61505,Klamath Falls City Schools - Conger Addi,,D,Elementary School,JOSEPH CONGER ELEMENTARY SCHOOL,397,5000.0,12.594458438287154
313,1700 california klamath falls or 97601,conger elementary school 1700 california st klamath falls or 97601,0.7994471535680434,61507,61507,Klamath Falls City Schools - Conger Addi,,D,Elementary School,JOSEPH CONGER ELEMENTARY SCHOOL,397,5000.0,12.594458438287154
69,1035 15th st nevada ia 50201,103515 street nevada ia 50201,0.7991533087183571,8396,8396,Nevada H.S. Safe Room Addition,Contract,D,High School,NEVADA MIDDLE SCHOOL,464,11670.0,25.150862068965516
88,10965 e peralta rd apache junction az 85118,10965 east peralta road apache junction az 852184799,0.7991492359269903,13618,13618,Apache Junction Elementary School,,D,,PERALTA TRAIL ELEMENTARY SCHOOL,418,58500.0,139.95215311004785
1017,700 w north st bradley il 60915,700 west north avenue bradley il 609151099,0.7984267000885648,11992,11992,BBCHS Study incl. Locker Replacement,Contract,D,,BRADLEY-BOURBONNAIS C HIGH SCHOOL,1944,400000.0,205.76131687242798
1016,700 w north st bradley il 60915,700 west north avenue bradley il 609151099,0.7984267000885648,12302,12302,BBCHS Re-roof,No Contract,D,High School,BRADLEY-BOURBONNAIS C HIGH SCHOOL,1944,20100.0,10.339506172839506
1015,700 w north st bradley il 60915,700 west north avenue bradley il 609151099,0.7984267000885648,12303,12303,BBCHS Re-roof,Revised Contract,D,High School,BRADLEY-BOURBONNAIS C HIGH SCHOOL,1944,20100.0,10.339506172839506
1014,700 w north st bradley il 60915,700 west north avenue bradley il 609151099,0.7984267000885648,12301,12301,BBCHS Re-roof,Revised Contract,D,High School,BRADLEY-BOURBONNAIS C HIGH SCHOOL,1944,20100.0,10.339506172839506
266,14905 q st omaha ne 68137,14905 `` q '' street omaha ne 681372599,0.7978686118280081,3370,3370,Millard South HS Addn and Renovation,Contract,D,High School,MILLARD SOUTH HIGH SCHOOL,2570,123600.0,48.09338521400778
787,425 n waverly road gardner ks 66030,gardner edgerton high school 425 north waverly road gardner ks 660308600,0.7978201838606316,9968,9968,Gardner Edgerton-MAC Center,Master Contract,D,Athletic Field,GARDNER EDGERTON HIGH,1725,29827.0,17.29101449275362
979,640 m st patterson ca 95363,patterson hs 200 north 7th street patterson ca 95363,0.79738348898538,33204,33204,Patterson USD HS Modernization,Contract,D,Academic,DEL PUERTO HIGH,102,30892.0,302.8627450980392
978,640 m st patterson ca 95363,patterson hs 200 north 7th street patterson ca 95363,0.79738348898538,33207,33207,Patterson HS Mod Unit D RR Remodel,Contract,D,,DEL PUERTO HIGH,102,30892.0,302.8627450980392
738,3997 e lockwood dr phoenix az 85050,3997 e lockwood dr phoenix az 00000,0.7971083572110349,14040,14040,Wildfire Elem. School Additions,Notice to Proceed,D,,WILDFIRE ELEMENTARY SCHOOL,687,7255.0,10.560407569141194
1035,7111 aurora ave urbandale ia 50322,7111 aurora avenue 7110 prairie avenue urbandale ia 50322,0.7957021203368749,95504,95504,Urbandale HS Fitness Center,Contract,I,High School,URBANDALE HIGH SCHOOL,1326,6000.0,4.524886877828054
1037,7111 aurora ave urbandale ia 50322,7111 aurora avenue 7110 prairie avenue urbandale ia 50322,0.7957021203368749,95501,95501,Urbandale HS Fitness Center,Contract,I,High School,URBANDALE HIGH SCHOOL,1326,6000.0,4.524886877828054
1036,7111 aurora ave urbandale ia 50322,7111 aurora avenue 7110 prairie avenue urbandale ia 50322,0.7957021203368749,95500,95500,Urbandale HS Fitness Center,Contract,I,High School,URBANDALE HIGH SCHOOL,1326,6000.0,4.524886877828054
477,22120 e queen creek rd queen creek az 85142,queen creek az 85242,0.7955148493030112,14483,14483,J.O. Combs Elementary #4,Contract,D,,BENJAMIN FRANKLIN CHARTER SCHOOL - CRISMON,712,67500.0,94.80337078651685
474,22120 e queen creek rd queen creek az 85142,queen creek az 85242,0.7955148493030112,14419,14419,Pecan South Elem Tech Redesign,Contract,D,,BENJAMIN FRANKLIN CHARTER SCHOOL - CRISMON,712,67500.0,94.80337078651685
476,22120 e queen creek rd queen creek az 85142,queen creek az 85242,0.7955148493030112,14416,14416,Pecan Creek South K-5 Elem. Redesign,Revised Contract,D,,BENJAMIN FRANKLIN CHARTER SCHOOL - CRISMON,712,67502.0,94.8061797752809
475,22120 e queen creek rd queen creek az 85142,queen creek az 85242,0.7955148493030112,14412,14412,Pecan Creek South K-5 Elementary,Contract,D,Elementary School,BENJAMIN FRANKLIN CHARTER SCHOOL - CRISMON,712,67502.0,94.8061797752809
1175,8701 pacific street omaha ne 68114,8701 pacific street 8601 arbor street omaha ne,0.7950503686308921,4419,4419,Westside HS MS Performing Arts Fac's,Master Contract,D,Academic,WESTSIDE HIGH SCHOOL,1988,36100.0,18.158953722334005
379,19250 ridgeview road spring hill ks 66083,199th street and ridgeview road spring hill ks 66083,0.7949771577387631,9489,9489,Spring Hill USD 230 High School,Revised Contract,D,High School,WOLF CREEK ELEMENTARY SCHOOL,423,181671.0,429.4822695035461
73,105 nw pleasant st ankeny ia 50023,105 northwest pleasant ankeny ia 50021,0.7943473488528469,8997,8997,Ankeny CSD-PH I Parkview MS Addn & AHS,,D,,PARKVIEW MIDDLE SCHOOL,916,24830.0,27.106986899563317
1174,8600 bloomington ave s bloomington mn 55425,60 e broadway bloomington mn 55425,0.7940838291495884,118756,118756,Minnesota Transitions Charter School - M,Blue Sky,A,Retail,SEVEN HILLS PREPARATORY ACADEMY,558,17000.0,30.46594982078853
226,1312 6th street kirkland wa 98033,515 state street kirkland wa 98033,0.793376171444461,26925,26925,IMAN Center,No Contract,D,Academic,KIRK ELEMENTARY,636,16000.0,25.157232704402517
225,1312 6th street kirkland wa 98033,515 state street kirkland wa 98033,0.793376171444461,26926,26926,IMAN Center,Revised Contract,D,Academic,KIRK ELEMENTARY,636,16000.0,25.157232704402517
235,1327 east 9th street pueblo co 81001,2300 east 10th street pueblo co 81001,0.7931250719042168,19432,19432,Pueblo SD 60 Spann E.S. Addition,No Revised Contract,D,,PARK VIEW ELEMENTARY SCHOOL,369,38200.0,103.5230352303523
1114,805 8th ave nw austin mn 55912,301 3rd ave nw  austin mn 55912,0.7921209558680757,23892,23892,Austin Senior High School,,D,High School,SUMNER ELEMENTARY,316,398000.0,1259.493670886076
961,615 ne 15th st mcminnville or 97128,1500 n baker st mcminnville or 97128,0.7916146908137591,29971,29971,McMinnville New Elementary School,,D,,MCMINNVILLE HIGH SCHOOL,2136,71600.0,33.52059925093633
744,400 n 9th ave winneconne wi 54986,winneconne wi,0.7899046956973084,24279,24279,Winneconne Auditorium/Gym Study,,D,,WINNECONNE MIDDLE,407,16950.0,41.646191646191646
811,45 s 3rd ave avondale az 85323,530 e riley dr avondale az 85323,0.7894556168380701,15998,15998,AFUSD Agua Fria High School,Contract,D,High School,MICHAEL ANDERSON,841,19516.0,23.205707491082045
327,1730 n delaware ave york ne 68467,1730 north delaware avenue york ne 684671999,0.7887256889904868,2934,2934,York New Middle School,Contract,D,Middle School,YORK MIDDLE SCHOOL,322,77850.0,241.77018633540374
886,505 e ave c belton tx 76513,400 n wall st belton tx 76513,0.7884504633954562,90656,90656,Belton ISD New High School,Contract,D,High School,NOLAN CREEK SCHOOL,125,394000.0,3152.0
403,200 s elm dr beverly hills ca 90212,241 s moreno dr beverly hills ca 90212,0.7872104822995563,64407,64407,BHUSD Beverly Hills HS Pre-Design Study,,D,Academic,BEVERLY VISTA ELEMENTARY,962,300000.0,311.85031185031187
402,200 s elm dr beverly hills ca 90212,241 s moreno dr beverly hills ca 90212,0.7872104822995563,36482,36482,BHUSD - BHHS - Modernization,Contract,A,Academic,BEVERLY VISTA ELEMENTARY,962,380000.0,395.01039501039503
401,200 s elm dr beverly hills ca 90212,241 s moreno dr beverly hills ca 90212,0.7872104822995563,37856,37856,BHUSD - BHHS - Pre-Design Studies,Contract,D,Academic,BEVERLY VISTA ELEMENTARY,962,300000.0,311.85031185031187
400,200 s elm dr beverly hills ca 90212,241 s moreno dr beverly hills ca 90212,0.7872104822995563,1026,1026,BHUSD - BHHS - Pre-Design Studies,Contract,D,Academic,BEVERLY VISTA ELEMENTARY,962,300000.0,311.85031185031187
405,200 s elm dr beverly hills ca 90212,241 s moreno dr beverly hills ca 90212,0.7872104822995563,64408,64408,BHUSD Beverly Hills HS Pre-Design Study,,D,Academic,BEVERLY VISTA ELEMENTARY,962,300000.0,311.85031185031187
404,200 s elm dr beverly hills ca 90212,241 s moreno dr beverly hills ca 90212,0.7872104822995563,64406,64406,BHUSD Beverly Hills HS Pre-Design Study,,D,Academic,BEVERLY VISTA ELEMENTARY,962,300000.0,311.85031185031187
