,School Scrubbed Address,Project Scrubbed Address,Similarity,ProjectKey,ProjectKey,ProjectName,ContractStatus,Status,BuildingType,School Name,Total Students All Grades (Includes AE) [Public School] 2019-20,ProjectSquareFeet,SQFT_Per_Student
799,43521 n kenworthy rd san tan valley az 85140,43521 n kenworthy rd san tan valley az 85140,1.0000000000000002,115712,115712,Ranch ES Re-Roof,Contract,A,Elementary School,RANCH ELEMENTARY SCHOOL,501,67980.0,135.688622754491
262,1431 n leamington ave chicago il 60651,1431 n leamington ave chicago il 60651,1.0000000000000002,12623,12623,CPS - Lewis Elementary School,Contract,D,Elementary School,LEWIS ELEM SCHOOL,486,146300.0,301.02880658436214
798,43521 n kenworthy rd san tan valley az 85140,43521 n kenworthy rd san tan valley az 85140,1.0000000000000002,7061,7061,Ranch ES Weatherization,Contract,A,Elementary School,RANCH ELEMENTARY SCHOOL,501,67980.0,135.688622754491
296,1601 sw 19th ave austin mn 55912,1601 19th ave sw  austin mn 55912,1.0000000000000002,23893,23893,Southgate Elementary Addition & Remodel,,D,,SOUTHGATE ELEMENTARY,532,57750.0,108.55263157894737
856,500 n verrado way buckeye az 85326,500 n verrado way buckeye az 85326,1.0000000000000002,104082,104082,West-MEC SWC Phase 4,Contract,I,Academic,SOUTHWEST CAMPUS,83,26454.0,318.72289156626505
791,431 27th avenue longview wa 98632,431 27th avenue longview wa 98632,1.0000000000000002,28471,28471,St. Helen's Elementary School,,D,,SAINT HELENS ELEMENTARY,335,42000.0,125.3731343283582
301,1617 w williams dr phoenix az 85027,1617 w williams dr phoenix az 85027,1.0000000000000002,71590,71590,West-MEC Northeast Campus Improvements,Contract,D,Academic,NORTHEAST CAMPUS,91,96000.0,1054.9450549450548
531,2570 south 42nd street kansas city ks 66106,2570 south 42nd street kansas city ks 66106,1.0000000000000002,10445,10445,Junction Primary Turner School Dist,,D,,JUNCTION ELEMENTARY,271,13600.0,50.18450184501845
309,16610 bennington road bennington ne 68007,16610 bennington road bennington ne 68007,1.0000000000000002,74309,74309,Bennington HS Aux Gym Addn,Contract,D,High School,BENNINGTON HIGH SCHOOL,766,26500.0,34.595300261096604
304,1625 madison way lynnwood wa 98087,1625 madison way lynnwood wa 98087,1.0000000000000002,84308,84308,Mukilteo School District- Lake Stickney,Contract,D,Elementary School,LAKE STICKNEY ELEMENTARY SCHOOL,616,61000.0,99.02597402597402
9,1 grizzly way granite bay ca 95746,1 grizzly way granite bay ca 95746,1.0000000000000002,32876,32876,Granite Bay H.S. Chemistry Lab,Contract,D,High School,GRANITE BAY HIGH,2061,16000.0,7.763221737020864
239,13401 se 132nd ave clackamas or 97015,13401 se 132nd ave clackamas or 97015,1.0000000000000002,77273,77273,NCSD Sunnyside ES,Contract,D,Elementary School,SUNNYSIDE ELEMENTARY SCHOOL,569,52000.0,91.3884007029877
355,18211 w las brisas dr goodyear az 85338,18211 w las brisas dr goodyear az 85338,1.0000000000000002,26476,26476,Liberty ESD New K-8 Elementary School,Contract,D,Academic,LAS BRISAS ACADEMY,537,61500.0,114.52513966480447
303,1625 madison way lynnwood wa 98087,1625 madison way lynnwood wa 98087,1.0000000000000002,1045,1045,Mukilteo School District- Lake Stickney,Contract,D,Elementary School,LAKE STICKNEY ELEMENTARY SCHOOL,616,79000.0,128.24675324675326
347,1805 preserve drive colorado springs co 80906,1805 preserve drive colorado springs co 80906,1.0000000000000002,20484,20484,Gold Camp Elementary School -  Cheyenne ,,D,,GOLD CAMP ELEMENTARY SCHOOL,472,46000.0,97.45762711864407
8,1 grizzly way granite bay ca 95746,1 grizzly way granite bay ca 95746,1.0000000000000002,32877,32877,Granite Bay H.S. Chem Lab,Contract,D,High School,GRANITE BAY HIGH,2061,16000.0,7.763221737020864
855,500 n jesse james excelsior springs mo 64024,500 n jesse james excelsior springs mo 64024,1.0000000000000002,10279,10279,Westview Elem Sch Addition,,D,,WESTVIEW ELEMENTARY,526,32000.0,60.836501901140686
1052,730 e magnolia rd salina ks 67401,730 e magnolia rd salina ks 67401,1.0,79866,79866,Salina South HS Additions & Renovations,Contract,I,High School,SALINA HIGH SOUTH,1067,274998.0,257.73008434864107
102,1101 hoquiam ave ne renton wa 98059,1101 hoquiam ave ne renton wa 98059,1.0,60208,60208,Hazen High School Addition - Pre-Design,,D,High School,HAZEN SENIOR HIGH SCHOOL,1713,295800.0,172.67950963222418
101,1101 hoquiam ave ne renton wa 98059,1101 hoquiam ave ne renton wa 98059,1.0,60207,60207,Hazen High School Addition - Pre-Design ,,D,High School,HAZEN SENIOR HIGH SCHOOL,1713,295800.0,172.67950963222418
286,15280 jessie drive colorado springs co 80921,15280 jessie drive colorado springs co 80921,1.0,107056,107056,Antelope Trails E.S.,Contract,I,Academic,ANTELOPE TRAILS ELEMENTARY SCHOOL,337,196.0,0.5816023738872403
854,500 lawrence street baldwin city ks 66006,500 lawrence street baldwin city ks 66006,1.0,9868,9868,Baldwin City Primary Center,Revised Contract,D,Elementary School,BALDWIN ELEMENTARY PRIMARY CENTER,344,65195.0,189.5203488372093
1085,7733 se raymond st portland or 97206,7733 se  raymond st portland or 97206,1.0,61508,61508,Portland Public Schools - Marysville K-8,,D,Elementary School,MARYSVILLE ELEMENTARY SCHOOL,383,54000.0,140.99216710182768
237,13380 yosemite street thornton co 80602,13380 yosemite street thornton co 80602,1.0,80846,80846,Riverdale Ridge H.S.,Contract,I,High School,RIVERDALE RIDGE HIGH SCHOOL,889,253000.0,284.58942632170977
692,3550 prospector st kingman az 86401,3550 prospector st kingman az 86401,1.0,15154,15154,KUSD New Middle School,Revised Contract,D,Middle School,WHITE CLIFFS MIDDLE SCHOOL,695,87000.0,125.17985611510791
789,428 pacific osawatomie ks 66064,428 pacific osawatomie ks 66064,1.0,10245,10245,Osawatomie Usd 367-Ms Addn,,D,,OSAWATOMIE MIDDLE SCHOOL,233,8100.0,34.76394849785408
370,1901 woolner ave fairfield ca 94533,1901 woolner ave fairfield ca 94533,1.0,77248,77248,FSUSD - E. Ruth Sheldon Academy,Contract,A,Academic,E. RUTH SHELDON ACADEMY OF INNOVATIVE LEARNING,561,41410.0,73.81461675579322
371,1901 woolner ave fairfield ca 94533,1901 woolner ave fairfield ca 94533,1.0,96932,96932,FSUSD - E. Ruth Sheldon Academy,Contract,A,Academic,E. RUTH SHELDON ACADEMY OF INNOVATIVE LEARNING,561,41410.0,73.81461675579322
372,1901 woolner ave fairfield ca 94533,1901 woolner ave fairfield ca 94533,1.0,112811,112811,FSUSD - E. Ruth Sheldon Academy,Contract,A,Academic,E. RUTH SHELDON ACADEMY OF INNOVATIVE LEARNING,561,41410.0,73.81461675579322
1087,7733 se raymond st portland or 97206,7733 se  raymond st portland or 97206,1.0,61509,61509,Portland Public Schools - Marysville K-8,,D,Elementary School,MARYSVILLE ELEMENTARY SCHOOL,383,54000.0,140.99216710182768
922,5642 rosehill shawnee mission ks 66216,5642 rosehill shawnee mission ks 66216,1.0,9385,9385,Ray Marsh Elementary School Project,Revised Contract,D,,RAY MARSH ELEM,532,72000.0,135.33834586466165
353,1815 n 155th street shoreline wa 98133,1815 n 155th street shoreline wa 98133,1.0,76572,76572,Parkwood Elementary School - SD-CA,Contract,A,Elementary School,PARKWOOD ELEMENTARY,451,63483.0,140.76053215077604
352,1815 n 155th street shoreline wa 98133,1815 n 155th street shoreline wa 98133,1.0,76896,76896,Parkwood Elementary School Replacement,Contract,I,Elementary School,PARKWOOD ELEMENTARY,451,63483.0,140.76053215077604
